aX,aY,aZ,gX,gY,gZ
0.915,-0.682,1.432,-42.053,57.251,48.706
1.083,-0.861,1.636,-22.827,79.712,49.316
1.225,-1.124,1.719,3.296,105.835,51.392
1.243,-1.373,1.662,16.724,131.226,60.547
1.137,-1.516,1.528,-0.366,155.029,85.327
1.025,-1.45,1.349,-22.4,168.457,137.085
0.779,-1.194,1.408,-27.1,170.593,201.782
0.664,-0.909,1.549,4.883,188.66,241.333
0.642,-0.7,1.733,60.486,218.872,253.052
0.596,-0.629,1.738,120.178,247.07,248.596
0.597,-0.653,1.694,158.142,271.667,241.76
0.551,-0.769,1.62,181.152,292.297,241.028
0.424,-0.864,1.48,193.848,312.195,253.601
0.194,-0.738,1.317,191.895,331.055,290.466
-0.036,-0.405,1.18,176.392,345.947,333.435
-0.251,-0.074,1.094,165.71,356.995,361.755
-0.42,0.219,0.98,159.851,371.277,372.009
-0.558,0.498,0.817,151.978,387.207,368.896
-0.678,0.677,0.578,143.677,400.024,357.3
-0.763,0.793,0.349,131.409,400.818,341.492
-0.822,0.891,0.079,110.718,392.578,323.608
-0.856,1.029,-0.226,83.435,377.197,301.575
-0.862,1.187,-0.537,49.744,349.609,276.123
-0.805,1.347,-0.839,14.832,311.218,247.681
-0.76,1.461,-1.064,0.366,265.198,216.187
-0.635,1.515,-1.254,9.338,218.445,180.298
-0.668,1.578,-1.384,22.827,167.908,147.339
-0.728,1.682,-1.462,28.809,111.877,121.704
-0.703,1.768,-1.456,18.25,67.322,90.454
-0.454,1.609,-1.391,27.588,39.978,53.162
-0.409,1.435,-1.201,42.114,-5.676,28.076
-0.398,1.436,-1.064,28.687,-44.373,18.066
-0.376,1.5,-0.972,0.854,-74.707,8.362
-0.347,1.504,-0.878,-16.235,-100.647,-9.583
-0.317,1.459,-0.751,-23.682,-122.925,-32.288
-0.286,1.407,-0.642,-31.372,-139.038,-54.871
-0.27,1.381,-0.586,-41.565,-148.804,-76.538
-0.267,1.423,-0.586,-48.401,-154.602,-98.755
-0.258,1.447,-0.533,-40.955,-161.438,-126.587
-0.238,1.434,-0.487,-33.264,-167.419,-160.156
-0.23,1.372,-0.39,-26.917,-170.41,-196.411
-0.21,1.248,-0.347,-31.921,-168.213,-233.093
-0.205,1.104,-0.331,-43.335,-167.297,-264.893
-0.208,0.969,-0.346,-57.739,-171.387,-290.1
-0.234,0.861,-0.416,-75.134,-178.894,-310.852
-0.285,0.823,-0.47,-93.14,-193.604,-329.529
-0.335,0.784,-0.466,-105.957,-216.309,-351.196
-0.406,0.684,-0.391,-109.253,-247.314,-376.526
-0.484,0.522,-0.243,-117.249,-276.978,-402.1
-0.537,0.245,-0.041,-129.028,-304.504,-424.5
-0.657,-0.054,0.181,-141.724,-339.111,-439.636
-0.751,-0.468,0.571,-163.391,-374.023,-444.092
-0.632,-0.958,1.072,-193.115,-406.006,-433.777
-0.446,-1.237,1.424,-217.529,-412.292,-406.189
-0.189,-1.387,1.838,-214.417,-397.766,-363.403
0.25,-1.921,2.4,-168.884,-370.85,-320.312
0.868,-2.482,2.749,-123.047,-322.51,-271.423
1.265,-2.57,2.74,-137.085,-253.113,-195.801
1.344,-2.291,2.495,-181.152,-174.622,-105.347
1.277,-1.651,2.083,-171.509,-101.807,-18.005
1.099,-0.874,1.743,-92.651,-50.72,47.729
0.998,-0.397,1.524,7.263,-24.231,68.054
0.983,-0.082,1.365,76.721,-16.052,55.115
1.027,0.053,1.243,101.44,-8.423,30.64
1.089,-0.004,1.225,105.408,-4.456,1.953
1.12,-0.162,1.186,104.187,1.709,-22.034
1.122,-0.332,1.094,93.079,12.573,-33.936
1.109,-0.471,1,72.083,20.874,-33.936
1.075,-0.542,0.91,48.035,26.794,-25.33
1.006,-0.547,0.836,29.602,32.41,-13.733
0.936,-0.563,0.75,23.376,38.391,-4.333
0.864,-0.575,0.645,23.376,44.495,2.441
0.809,-0.566,0.547,20.142,49.866,8.362
0.761,-0.54,0.449,16.235,54.321,12.207
0.734,-0.504,0.37,12.695,56.213,13.672
0.718,-0.478,0.307,10.254,56.335,13.55
0.701,-0.406,0.228,10.01,54.321,13.611
0.716,-0.362,0.197,14.16,47.363,11.414
0.735,-0.353,0.204,20.447,37.903,7.324
0.74,-0.319,0.153,17.944,30.701,3.418
0.767,-0.31,0.152,11.353,21.912,-0.122
0.794,-0.32,0.187,7.996,10.376,-2.502
0.796,-0.338,0.184,2.197,2.38,-3.906
0.82,-0.364,0.216,-2.747,-5.676,-3.906
0.829,-0.376,0.25,-4.15,-13.184,-2.502
0.832,-0.398,0.28,-7.202,-19.104,-1.16
0.84,-0.422,0.308,-13.306,-23.254,0
0.841,-0.427,0.341,-21.851,-25.33,2.014
0.845,-0.407,0.37,-26.245,-26.489,4.578
0.848,-0.391,0.412,-24.78,-26.917,5.31
0.857,-0.407,0.45,-20.264,-26.245,3.418
0.871,-0.417,0.485,-16.968,-24.841,1.953
0.88,-0.407,0.52,-15.259,-22.644,2.075
0.881,-0.394,0.55,-12.878,-19.958,2.197
0.882,-0.379,0.567,-9.216,-16.541,1.892
0.88,-0.376,0.572,-5.554,-13.184,1.16
0.87,-0.378,0.568,-2.502,-10.254,0.977
0.86,-0.368,0.568,-0.732,-8.301,1.892
0.851,-0.358,0.561,0.793,-6.653,2.747
0.84,-0.355,0.55,0.916,-5.371,3.174
0.834,-0.341,0.536,-0.122,-4.15,3.967
0.828,-0.326,0.526,-0.854,-4.089,4.639
0.823,-0.31,0.526,-0.671,-4.761,4.517
0.825,-0.3,0.531,-0.366,-4.761,3.54
0.823,-0.287,0.534,-1.526,-3.906,2.38
0.824,-0.273,0.538,-2.991,-2.747,0.61
0.827,-0.27,0.548,-2.93,-1.16,-1.343
0.832,-0.278,0.547,-1.587,0.366,-3.662
0.83,-0.298,0.533,-0.977,2.319,-5.554
0.829,-0.317,0.515,-2.197,4.211,-6.348
0.828,-0.343,0.496,-3.174,5.066,-6.104
0.827,-0.36,0.467,-1.77,4.333,-4.333
0.823,-0.362,0.464,0.916,1.953,-1.953
0.818,-0.351,0.465,2.38,0.244,0.122
0.814,-0.332,0.465,2.441,-0.549,1.282
0.813,-0.312,0.464,1.587,-0.977,1.526
0.811,-0.299,0.465,1.282,-1.16,0.549
0.81,-0.294,0.468,1.526,-1.343,-1.16
0.814,-0.303,0.472,1.892,-1.16,-3.662
,,,,,
0.886,-0.79,1.384,-44.8,-40.71,37.598
1.006,-0.862,1.701,-25.818,-37.415,44.373
1.152,-1.036,2.047,6.104,-18.616,51.392
1.244,-1.154,2.276,38.086,20.813,69.092
1.221,-1.342,2.336,62.927,78.491,94.849
1.086,-1.659,2.208,69.336,139.099,130.127
0.909,-1.775,1.974,41.382,191.895,179.077
0.697,-1.579,1.791,15.076,228.149,234.68
0.54,-1.162,1.641,25.208,249.39,284.18
0.451,-0.863,1.616,59.082,261.108,316.711
0.425,-0.795,1.644,83.679,271.912,330.933
0.335,-0.737,1.679,89.6,292.358,342.224
0.188,-0.681,1.643,91.431,326.416,357.422
-0.007,-0.545,1.535,100.159,365.601,374.207
-0.212,-0.352,1.377,110.352,402.527,387.939
-0.443,-0.201,1.215,126.099,432.678,397.095
-0.664,-0.044,1.017,127.869,458.435,405.762
-0.885,0.114,0.831,114.014,479.675,410.522
-1.086,0.27,0.605,91.98,495.239,410.156
-1.266,0.434,0.353,69.946,502.93,405.212
-1.394,0.624,0.095,47.668,502.869,395.142
-1.493,0.808,-0.164,26.367,495.544,376.953
-1.578,0.977,-0.521,6.47,481.934,350.525
-1.61,1.19,-0.933,-17.578,458.984,317.688
-1.33,1.275,-1.314,-36.56,423.34,278.137
-1.631,1.451,-1.711,-44.922,371.948,236.084
-1.594,1.587,-2.048,-72.876,307.556,194.519
-1.398,1.627,-2.234,-91.614,240.051,149.78
-1.145,1.444,-2.234,-85.144,164.673,112.427
-1.242,1.474,-2.16,-56.458,90.149,88.928
-1.12,1.381,-1.991,-23.682,16.846,63.171
-1.078,1.27,-1.848,18.677,-44.006,39.429
-0.997,1.211,-1.586,39.978,-99.976,23.254
-0.91,1.193,-1.394,25.818,-142.456,9.583
-0.818,1.196,-1.26,2.441,-170.654,-6.653
-0.726,1.173,-1.137,-2.991,-192.383,-28.198
-0.615,1.099,-1.017,3.052,-207.886,-53.711
-0.503,0.999,-0.937,6.836,-217.529,-78.003
-0.391,0.898,-0.856,11.719,-224.365,-98.267
-0.286,0.761,-0.816,19.226,-229.248,-113.77
-0.181,0.646,-0.758,26.611,-233.704,-123.108
-0.07,0.555,-0.714,29.724,-238.281,-127.075
0.019,0.48,-0.68,32.654,-243.103,-128.113
0.094,0.403,-0.636,35.522,-249.756,-126.709
0.159,0.349,-0.584,37.231,-256.897,-123.169
0.209,0.333,-0.52,33.752,-264.099,-117.493
0.258,0.314,-0.461,27.71,-271.118,-111.816
0.298,0.284,-0.395,28.992,-279.114,-106.506
0.334,0.269,-0.28,38.574,-288.513,-100.891
0.363,0.252,-0.141,51.025,-296.448,-96.008
0.398,0.25,0.001,54.871,-299.438,-91.858
0.42,0.283,0.146,45.959,-299.072,-86.06
0.433,0.35,0.251,32.593,-289.307,-80.933
0.42,0.457,0.339,22.339,-275.94,-77.271
0.422,0.598,0.505,26.062,-263.794,-80.078
0.449,0.684,0.715,52.002,-251.77,-94.238
0.503,0.686,0.923,91.309,-232.849,-117.859
0.557,0.646,1.053,126.953,-202.637,-143.311
0.596,0.581,1.099,147.095,-164.246,-167.053
0.607,0.507,1.075,144.958,-124.878,-187.073
0.616,0.47,0.954,124.634,-89.172,-200.073
0.638,0.445,0.774,101.257,-62.805,-208.252
0.628,0.382,0.635,82.764,-53.284,-215.271
0.617,0.251,0.529,66.956,-53.955,-219.238
0.626,0.085,0.438,39.246,-59.875,-215.942
