aX,aY,aZ,gX,gY,gZ
-0.232,0.021,-2.411,-42.114,125.793,73.975
-0.246,0.157,-2.687,16.052,69.214,67.2
-0.3,0.257,-3.017,70.435,-0.488,56.274
-0.403,0.462,-3.373,85.388,-82.336,45.105
-0.586,0.786,-3.62,82.764,-183.594,22.766
-0.755,1.161,-3.626,78.247,-309.631,-19.653
-0.914,1.343,-3.319,55.115,-447.571,-83.679
-1.169,1.413,-2.798,6.165,-575.989,-155.396
-1.57,1.263,-2.074,-56.091,-687.256,-229.248
-1.762,1.061,-1.311,-120.911,-788.025,-294.983
-2.033,0.768,-0.569,-187.256,-868.652,-348.755
-2.357,0.532,0.232,-262.817,-924.133,-387.207
-2.477,-0.133,1.505,-334.473,-969.849,-407.227
-2.583,-1.709,3.443,-460.022,-993.958,-387.451
-1.573,-3.275,4,-694.824,-947.205,-277.222
0.187,-2.729,4,-833.374,-747.62,-77.637
-0.007,-1.392,4,-680.176,-396.24,146.973
-0.853,0.622,4,-335.083,1.404,302.185
-0.882,2.032,4,157.349,245.911,322.693
-0.33,1.979,3.892,591.492,324.219,234.131
0.076,1.354,3.233,651.611,350.342,117.004
0.116,0.759,2.421,436.646,348.267,36.926
0.251,0.364,1.694,206.909,306.458,13.855
0.295,0.187,1.073,37.537,259.888,13.55
0.339,-0.053,0.623,-70.19,214.722,14.771
0.432,-0.302,0.466,-113.831,172.791,6.653
0.511,-0.566,0.51,-118.164,142.578,5.493
0.546,-0.618,0.463,-114.197,131.104,23.315
0.568,-0.453,0.355,-102.844,146.912,37.964
0.557,-0.259,0.22,-67.261,172.424,42.664
0.542,-0.144,0.061,-21.545,185.425,36.987
0.555,-0.092,-0.082,8.85,183.716,24.231
0.582,-0.12,-0.148,17.09,173.401,10.01
0.597,-0.23,-0.178,17.456,157.898,-0.732
0.609,-0.356,-0.154,10.254,142.212,-2.93
0.635,-0.495,-0.108,-8.362,130.371,1.099
0.648,-0.553,-0.069,-42.48,122.314,11.597
0.674,-0.492,-0.067,-76.904,115.417,25.757
0.694,-0.349,-0.069,-91.125,106.567,33.691
0.722,-0.235,-0.085,-79.773,95.764,34.485
0.771,-0.202,0.006,-54.199,87.524,28.687
0.82,-0.26,0.041,-33.569,86.67,21.851
0.818,-0.292,0.017,-25.696,89.355,19.653
0.828,-0.272,-0.02,-25.879,92.102,22.217
0.84,-0.203,-0.05,-28.687,92.285,25.024
0.89,-0.174,-0.109,-32.288,89.233,23.437
0.901,-0.117,-0.126,-43.335,80.994,20.935
0.91,-0.111,-0.178,-44.189,64.88,16.724
0.932,-0.14,-0.173,-41.016,49.316,9.705
0.922,-0.223,-0.127,-41.687,37.292,6.165
0.924,-0.288,-0.093,-46.875,28.32,8.301
0.908,-0.295,-0.083,-56.702,24.719,14.587
0.89,-0.252,-0.095,-66.589,25.33,21.179
0.885,-0.196,-0.118,-66.528,26.794,23.804
0.888,-0.155,-0.138,-57.678,26.306,22.278
0.912,-0.144,-0.146,-44.006,25.146,17.212
0.929,-0.176,-0.148,-30.518,23.376,11.536
0.938,-0.21,-0.159,-23.621,21.851,9.155
0.961,-0.215,-0.17,-22.583,20.081,11.108
0.985,-0.2,-0.202,-20.142,15.442,13
0.997,-0.188,-0.233,-17.578,7.141,13.489
1.005,-0.195,-0.242,-17.395,-2.136,14.221
1.013,-0.204,-0.234,-20.264,-11.963,16.785
1.015,-0.225,-0.219,-25.696,-21.24,20.935
1.006,-0.243,-0.2,-33.447,-28.381,25.574
1.005,-0.25,-0.189,-39.734,-35.217,31.86
1.001,-0.234,-0.185,-45.044,-41.748,39.185
1,-0.199,-0.191,-48.401,-48.218,45.837
1.007,-0.148,-0.199,-47.302,-55.115,50.415
1.008,-0.113,-0.193,-42.297,-63.416,51.88
1.003,-0.097,-0.165,-35.645,-73.12,51.636
1,-0.103,-0.117,-28.564,-81.909,51.453
0.993,-0.119,-0.065,-28.381,-87.585,52.612
0.989,-0.11,-0.015,-34.607,-89.539,55.908
